epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,21903.1,0.86032,0.68602,1.24579,0.8812,0.88211,0.9058,0.75127,0.67885,0.47861,1.09792,0.005842,0.005842,0.005842
44,22404.7,0.8634,0.68658,1.23831,0.89297,0.87645,0.90819,0.75316,0.67897,0.47902,1.09568,0.005743,0.005743,0.005743
45,22906.3,0.85127,0.67677,1.23446,0.89549,0.87494,0.91077,0.7547,0.67254,0.47721,1.09347,0.005644,0.005644,0.005644
46,23407.6,0.85292,0.6718,1.22921,0.90004,0.87162,0.91016,0.75546,0.66913,0.47455,1.08897,0.005545,0.005545,0.005545
47,23909.3,0.84853,0.6653,1.22657,0.90132,0.87295,0.90878,0.75553,0.66647,0.47116,1.08444,0.005446,0.005446,0.005446
48,24411.6,0.8447,0.66057,1.227,0.90123,0.86914,0.90876,0.75755,0.66976,0.465,1.08873,0.005347,0.005347,0.005347
49,24913.8,0.84182,0.64621,1.22384,0.89791,0.87428,0.91107,0.7598,0.66685,0.4614,1.08743,0.005248,0.005248,0.005248
50,25416.8,0.83189,0.63965,1.21851,0.90077,0.87119,0.91066,0.76124,0.66275,0.4621,1.08365,0.005149,0.005149,0.005149
51,25918.8,0.83573,0.63582,1.22226,0.88431,0.88857,0.91046,0.76283,0.6608,0.46612,1.08293,0.00505,0.00505,0.00505
52,26421.1,0.82974,0.63445,1.2167,0.91421,0.86566,0.91073,0.76198,0.6615,0.46411,1.08276,0.004951,0.004951,0.004951
53,26924,0.82601,0.62114,1.21011,0.90324,0.87327,0.9112,0.76155,0.66117,0.46491,1.08074,0.004852,0.004852,0.004852
54,27427,0.82043,0.62015,1.20694,0.89171,0.88633,0.9108,0.762,0.6619,0.45828,1.08077,0.004753,0.004753,0.004753
55,27929.1,0.81126,0.60919,1.19957,0.89279,0.88785,0.91253,0.76424,0.66073,0.45153,1.07948,0.004654,0.004654,0.004654
56,28431.5,0.80917,0.60671,1.20435,0.89017,0.88555,0.91308,0.76681,0.66066,0.45158,1.07974,0.004555,0.004555,0.004555
57,28933.8,0.80538,0.60316,1.19528,0.88877,0.88839,0.91464,0.76707,0.65829,0.45082,1.07689,0.004456,0.004456,0.004456
58,29435.9,0.8012,0.59332,1.19546,0.87806,0.89661,0.91514,0.76785,0.6583,0.44764,1.07749,0.004357,0.004357,0.004357
59,29939.3,0.79366,0.59106,1.19089,0.88901,0.88668,0.91547,0.76718,0.65558,0.44861,1.07526,0.004258,0.004258,0.004258
60,30442.7,0.7926,0.58689,1.18935,0.88275,0.89238,0.91492,0.76645,0.65526,0.44705,1.07502,0.004159,0.004159,0.004159
61,30945.5,0.78934,0.57817,1.18756,0.89609,0.88122,0.91496,0.76669,0.65666,0.4449,1.07746,0.00406,0.00406,0.00406
62,31448.5,0.78421,0.57445,1.18353,0.89756,0.8825,0.91516,0.76836,0.65607,0.44373,1.07728,0.003961,0.003961,0.003961
63,31951.5,0.77522,0.5634,1.17377,0.89588,0.88225,0.91476,0.76794,0.65653,0.4447,1.07823,0.003862,0.003862,0.003862
64,32453.7,0.77127,0.55637,1.17624,0.89358,0.88532,0.91518,0.76951,0.65601,0.44386,1.07803,0.003763,0.003763,0.003763
65,32956.9,0.7737,0.5581,1.17678,0.89226,0.88797,0.91539,0.76986,0.65459,0.44429,1.07725,0.003664,0.003664,0.003664
66,33459.9,0.76259,0.5507,1.16989,0.8959,0.883,0.91609,0.77019,0.65404,0.44258,1.07768,0.003565,0.003565,0.003565
67,33963,0.75878,0.54402,1.16256,0.89803,0.88217,0.91528,0.77017,0.6538,0.44137,1.07662,0.003466,0.003466,0.003466
68,34466,0.75519,0.54231,1.16069,0.8979,0.88076,0.91573,0.77158,0.65271,0.44133,1.07502,0.003367,0.003367,0.003367
69,34987.6,0.75468,0.53344,1.15448,0.90206,0.881,0.91563,0.77149,0.65255,0.43971,1.07421,0.003268,0.003268,0.003268
70,35489.9,0.75036,0.53222,1.15601,0.90191,0.87949,0.91559,0.77144,0.65154,0.44026,1.07177,0.003169,0.003169,0.003169
71,35991.9,0.74594,0.52804,1.15296,0.90023,0.87829,0.9154,0.77171,0.6507,0.44001,1.07053,0.00307,0.00307,0.00307
72,36494,0.74232,0.52192,1.14708,0.90127,0.87954,0.91543,0.77245,0.65031,0.43957,1.07014,0.002971,0.002971,0.002971
73,36996.6,0.73722,0.51363,1.14285,0.90166,0.87796,0.9155,0.77354,0.64928,0.43798,1.06913,0.002872,0.002872,0.002872
74,37499.1,0.73938,0.51767,1.15319,0.90387,0.87658,0.91574,0.77409,0.64854,0.43858,1.06867,0.002773,0.002773,0.002773
75,38001.2,0.72644,0.50224,1.14578,0.90331,0.87721,0.91512,0.7742,0.64949,0.43718,1.07009,0.002674,0.002674,0.002674
76,38503.8,0.72512,0.50336,1.1415,0.90323,0.87785,0.91503,0.77461,0.64831,0.43664,1.06952,0.002575,0.002575,0.002575
77,39006.3,0.71876,0.50012,1.13969,0.90492,0.87919,0.91505,0.7754,0.64843,0.43732,1.06995,0.002476,0.002476,0.002476
78,39509,0.71605,0.4949,1.13537,0.90497,0.87966,0.91486,0.77544,0.6486,0.43774,1.07057,0.002377,0.002377,0.002377
79,40011.8,0.70959,0.487,1.12931,0.90268,0.88255,0.91485,0.77503,0.64788,0.43637,1.06966,0.002278,0.002278,0.002278
80,40513.8,0.70651,0.49055,1.13385,0.90401,0.88118,0.91503,0.77461,0.6483,0.43735,1.07035,0.002179,0.002179,0.002179
81,41018.1,0.69251,0.47418,1.12129,0.90193,0.87999,0.91511,0.77485,0.64781,0.43739,1.07029,0.00208,0.00208,0.00208
82,41520.8,0.69874,0.47235,1.12643,0.90275,0.87953,0.91532,0.77484,0.64806,0.43814,1.07072,0.001981,0.001981,0.001981
83,42022.7,0.69301,0.47118,1.12283,0.90459,0.87965,0.9152,0.77541,0.64771,0.43745,1.07081,0.001882,0.001882,0.001882
84,42525.3,0.68743,0.46805,1.11922,0.90367,0.87998,0.91547,0.77576,0.6474,0.43771,1.07064,0.001783,0.001783,0.001783
85,43028.2,0.68314,0.45713,1.11094,0.90285,0.88113,0.91549,0.7756,0.64698,0.4387,1.0703,0.001684,0.001684,0.001684
86,43530.8,0.68012,0.46212,1.11491,0.90469,0.88039,0.91553,0.7758,0.6466,0.43845,1.07009,0.001585,0.001585,0.001585
87,44032.6,0.67157,0.45103,1.10629,0.90345,0.88002,0.91572,0.77551,0.64629,0.4374,1.07001,0.001486,0.001486,0.001486
88,44534.5,0.67069,0.45361,1.10883,0.9038,0.87987,0.91591,0.77564,0.64584,0.43757,1.06968,0.001387,0.001387,0.001387
89,45036.6,0.65911,0.44204,1.09697,0.90564,0.88039,0.91637,0.77585,0.64537,0.43711,1.06916,0.001288,0.001288,0.001288
90,45539,0.66253,0.43961,1.10191,0.90502,0.8814,0.91656,0.77578,0.64547,0.43638,1.06933,0.001189,0.001189,0.001189
91,46060.3,0.557,0.30774,1.02901,0.9058,0.88215,0.91677,0.77585,0.645,0.43623,1.06909,0.00109,0.00109,0.00109
92,46560,0.55154,0.30013,1.02451,0.90503,0.88297,0.91702,0.77566,0.64446,0.4348,1.06876,0.000991,0.000991,0.000991
93,47059.6,0.54239,0.29742,1.01505,0.9049,0.88289,0.91719,0.77592,0.64417,0.43479,1.06873,0.000892,0.000892,0.000892
94,47560.7,0.53301,0.29106,1.01364,0.90588,0.88304,0.91739,0.77624,0.64409,0.43383,1.06917,0.000793,0.000793,0.000793
95,48061.1,0.52395,0.2842,1.00627,0.90619,0.88269,0.91733,0.77691,0.64435,0.43373,1.06952,0.000694,0.000694,0.000694
96,48562,0.51776,0.28032,1.00085,0.90602,0.88287,0.91743,0.77704,0.64401,0.43449,1.06933,0.000595,0.000595,0.000595
97,49063.2,0.51616,0.27951,0.99948,0.9044,0.88543,0.91759,0.77697,0.64341,0.43494,1.06878,0.000496,0.000496,0.000496
98,49564.4,0.50519,0.27258,0.98928,0.90494,0.8853,0.91772,0.7769,0.64326,0.43487,1.06889,0.000397,0.000397,0.000397
99,50065.1,0.50272,0.2729,0.99046,0.90463,0.88488,0.91763,0.77728,0.64335,0.43562,1.06937,0.000298,0.000298,0.000298
100,50566,0.49468,0.26673,0.98472,0.90502,0.88489,0.91762,0.7768,0.64359,0.43583,1.06985,0.000199,0.000199,0.000199
